Loop Gain dB20 X,Loop Gain dB20 Y
1,74.59004094860019
1.584893192461114,74.58987840128796
2.511886431509581,74.58947012777517
3.981071705534974,74.58844476031645
6.309573444801934,74.58587022096918
10,74.57940999424918
15.84893192461114,74.56322489815251
25.11886431509581,74.522833846453
39.81071705534975,74.42300270077546
63.09573444801936,74.18191561743726
100.0000000000001,73.62950491491982
158.4893192461115,72.49000512506173
251.1886431509582,70.50427108929657
398.1071705534976,67.66723772379321
630.9573444801939,64.23350041154573
1000.000000000001,60.48122318732118
1584.893192461115,56.58391490219307
2511.886431509583,52.62548267551293
3981.071705534978,48.6421424465668
6309.573444801941,44.64879259881832
10000.00000000001,40.65144278691459
15848.93192461116,36.65249799018083
25118.86431509584,32.65291737718857
39810.71705534979,28.65308241937852
63095.73444801944,24.65314327745114
100000.0000000002,20.65315532767357
158489.3192461117,16.65312953521192
251188.6431509586,12.65304243031032
398107.1705534981,8.652814756410478
630957.3444801947,4.652239384468586
1000000.000000002,0.6507930624116767
1584893.192461117,-3.352838256249544
2511886.431509587,-7.361945845843185
3981071.705534983,-11.38473473839206
6309573.44480195,-15.44142771176901
10000000.00000003,-19.58048087753204
15848931.92461118,-23.91030833948978
25118864.31509588,-28.63750671127208
39810717.05534985,-34.03653474467396
63095734.44801953,-40.24575697584538
100000000.0000003,-47.07790123241046
158489319.2461119,-54.1684610902259
251188643.1509589,-61.29691628140166
398107170.5534986,-68.76062120910248
630957344.4801955,-77.69443237970022
1000000000.000004,-89.52151994020255
1584893192.461119,-99.77840785565076
2511886431.50959,-104.2258969455562
3981071705.534988,-106.8790725686433
6309573444.801957,-109.2759999153279
10000000000,-112.2238392625487
