VIN X,VIN Y
0,1.7
2e-08,1.7
6.000000000000001e-08,1.7
1.4e-07,1.7
3.000000000000001e-07,1.7
6.200000000000002e-07,1.7
1.02e-06,1.7
1.42e-06,1.7
1.82e-06,1.7
2.22e-06,1.7
2.62e-06,1.7
3e-06,1.7
3.0025e-06,1.7
3.00625e-06,1.7
3.01e-06,1.7
3.012092469327552e-06,1.7
3.015257105618838e-06,1.7
3.01882871338475e-06,1.7
3.024038741365331e-06,1.7
3.028064430207448e-06,1.7
3.03414664979843e-06,1.7
3.041273231466503e-06,1.7
3.054157226445538e-06,1.7
3.064463223234416e-06,1.7
3.075401823141514e-06,1.7
3.085912549011161e-06,1.7
3.097590537692573e-06,1.7
3.100204711334399e-06,1.7
3.105433058618052e-06,1.7
3.110391898069522e-06,1.7
3.11572856970661e-06,1.7
3.120789023080657e-06,1.7
3.130909929828753e-06,1.7
3.142680933423509e-06,1.7
3.162624467281131e-06,1.7
3.188129993674852e-06,1.7
3.237396410986539e-06,1.7
3.287937162392956e-06,1.7
3.377338412238882e-06,1.7
3.492325760438516e-06,1.7
3.722300456837783e-06,1.7
3.996110939131398e-06,1.7
4.396110939131399e-06,1.7
4.796110939131399e-06,1.7
5.196110939131399e-06,1.7
5.5961109391314e-06,1.7
5.8030554695657e-06,1.7
6.01e-06,1.7
6.0125e-06,1.7
6.01625e-06,1.7
6.02e-06,1.7
6.021895100002976e-06,1.7
6.024897908009783e-06,1.7
6.027777466331117e-06,1.7
6.032056890537145e-06,1.7
6.035903435109846e-06,1.7
6.041691290545935e-06,1.7
6.04912516704941e-06,1.7
6.059289257645575e-06,1.7
6.069096146256742e-06,1.7
6.078949763024624e-06,1.7
6.089495984260419e-06,1.7
6.101072171514261e-06,1.7
6.104145235067405e-06,1.7
6.105681766843977e-06,1.7
6.108754830397121e-06,1.7
6.10969377156097e-06,1.7
6.111571653888668e-06,1.7
6.113745109479591e-06,1.7
6.114239674370061e-06,1.7
6.115228804151001e-06,1.7
6.116201450531954e-06,1.7
6.117021570773072e-06,1.7
6.117760144385577e-06,1.7
6.118045114348368e-06,1.7
6.11861505427395e-06,1.7
6.119754934125113e-06,1.7
6.12173963561808e-06,1.7
6.124403617007985e-06,1.7
6.128744852169661e-06,1.7
6.134242405979748e-06,1.7
6.14303956837777e-06,1.7
6.156595554066822e-06,1.7
6.18108353736374e-06,1.7
6.214323437725445e-06,1.7
6.26557576040267e-06,1.7
6.333043856560923e-06,1.7
6.431066800961839e-06,1.7
6.583623194847755e-06,1.7
6.870395840770265e-06,1.7
7.270395840770266e-06,1.7
7.670395840770265e-06,1.7
8.070395840770265e-06,1.7
8.470395840770264e-06,1.7
8.870395840770264e-06,1.7
9.270395840770263e-06,1.7
9.670395840770263e-06,1.7
1e-05,1.7
1.00015625e-05,1.9
1.000353442800732e-05,1.9
1.000420976690165e-05,1.9
1.000500270938467e-05,1.9
1.000566740955001e-05,1.9
1.000623469891972e-05,1.9
1.000688957152172e-05,1.9
1.000761313006505e-05,1.9
1.00085385960002e-05,1.9
1.000983688724819e-05,1.9
1.001162530705635e-05,1.9
1.001417462364145e-05,1.9
1.001755818841733e-05,1.9
1.002204070703822e-05,1.9
1.002847245403367e-05,1.9
1.003582753088744e-05,1.9
1.004632008294949e-05,1.9
1.005607224963947e-05,1.9
1.006635618640174e-05,1.9
1.007708187989947e-05,1.9
1.007943409621361e-05,1.9
1.008413852884189e-05,1.9
1.008901975667916e-05,1.9
1.009393998647982e-05,1.9
1.009915811164058e-05,1.9
1.01088643189274e-05,1.9
1.011988480025022e-05,1.9
1.013480874721208e-05,1.9
1.015567206050687e-05,1.9
1.018174066437123e-05,1.9
1.021900050670701e-05,1.9
1.026458873560137e-05,1.9
1.033334067210508e-05,1.9
1.041649335302008e-05,1.9
1.054026590810893e-05,1.9
1.070391078476305e-05,1.9
1.093218868558455e-05,1.9
1.125332852681319e-05,1.9
1.165332852681319e-05,1.9
1.205332852681319e-05,1.9
1.245332852681319e-05,1.9
1.27266642634066e-05,1.9
1.3e-05,1.9
1.30025e-05,1.9
1.300625e-05,1.9
1.301e-05,1.9
1.301219290386544e-05,1.9
1.301546828722243e-05,1.9
1.301917688855087e-05,1.9
1.302441463571365e-05,1.9
1.302861904748518e-05,1.9
1.303489098159654e-05,1.9
1.304244399691807e-05,1.9
1.305625382509798e-05,1.9
1.306662564001286e-05,1.9
1.307787215373609e-05,1.9
1.308861624290412e-05,1.9
1.310068586129893e-05,1.9
1.310913973566377e-05,1.9
1.311656639294471e-05,1.9
1.312486224466304e-05,1.9
1.31320241111195e-05,1.9
1.314296105996093e-05,1.9
1.315721461425218e-05,1.9
1.317928738245668e-05,1.9
1.321097984619076e-05,1.9
1.327167813759286e-05,1.9
1.333953774241802e-05,1.9
1.345802072067988e-05,1.9
1.361510946968544e-05,1.9
1.392928696769656e-05,1.9
1.432928696769656e-05,1.9
1.472928696769655e-05,1.9
1.512928696769655e-05,1.9
1.552928696769655e-05,1.9
1.576964348384828e-05,1.9
1.601e-05,1.9
1.60125e-05,1.9
1.601625e-05,1.9
1.602e-05,1.9
1.602199948994187e-05,1.9
1.602510962858255e-05,1.9
1.602809004494331e-05,1.9
1.603269882830087e-05,1.9
1.603674417257868e-05,1.9
1.604304598535325e-05,1.9
1.605111117832038e-05,1.9
1.606259431160083e-05,1.9
1.607261479063284e-05,1.9
1.608310914506824e-05,1.9
1.609411737397501e-05,1.9
1.610614945349036e-05,1.9
1.61091605480435e-05,1.9
1.611066609532007e-05,1.9
1.611141886895836e-05,1.9
1.611292441623493e-05,1.9
1.61142694771976e-05,1.9
1.61145941046139e-05,1.9
1.611524335944651e-05,1.9
1.61158674319565e-05,1.9
1.611614860501309e-05,1.9
1.611671095112628e-05,1.9
1.611750711291743e-05,1.9
1.611909943649974e-05,1.9
1.612147533469346e-05,1.9
1.612498911903151e-05,1.9
1.612962903197973e-05,1.9
1.613710057495133e-05,1.9
1.614665497962038e-05,1.9
1.616557115924206e-05,1.9
1.619234848990238e-05,1.9
1.623244505652583e-05,1.9
1.628531084356233e-05,1.9
1.63644314603738e-05,1.9
1.64758914775829e-05,1.9
1.666354125701489e-05,1.9
1.70094905174129e-05,1.9
1.74094905174129e-05,1.9
1.78094905174129e-05,1.9
1.82094905174129e-05,1.9
1.86094905174129e-05,1.9
1.90094905174129e-05,1.9
1.94094905174129e-05,1.9
1.970474525870645e-05,1.9
2e-05,1.9
